country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,230,,,281,,,,,,,,,,,76.4,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,24.2,15.7,17.2,20.8,22.3,22.8,21.9,22.3,22.6,19,19.6,18.9,,18.4,17.4,5.59,,4.84,4.9,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,6.58,5.25,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48,7.68,,,,,,,,,,,,,,,,14.8,15,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,125,132,113,,,,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9,,,69.7,110,85.1,,,,,,,20.9,14.7,18.1,14.6,21.7,20.3,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,19.6,21.6,20.8,16.6,14.1,11.3,10.7,10.5,17.1,19.5,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,15.3,12.7,,,,,,,0
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,21.9,,10.2,9.14,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,27,21.1,23.7,26.8,29.4,30.5,26.6,31.6
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,,,842,794,,,,,1050,,,,,,,,,,,,44.7
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,,,,33.8,32.2,20.1,19.6,17.4,16.3,16.1,16,16.9,19.2,23.6,24.6,24.6,26.9,24.8,18,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,,41.1,42.8,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,31.6,27,22.3,19.4,18.1,13.5,11.6,,14.3,14.7,16,13.3,15,20,29.4,29.6,25.5,27.4,17.7,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,54.2,,25.3,20.1,19,21.5,19.2,16,16.4,15.5,23.2,28.9,49.6,19.1,17.4,24.6,23.2,19.1,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6,92.7,99.8,,,,,,,,,82.1,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,39,38.2,45.3,37.3,35.8,35,,32.9,,31.5,30.6,26.6
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,154,,,,,,,158,161,143,144,147,,95.3,103,,,0.0337,0.0381,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,38.7,,30.1,41.4,39.4,37,37.6,35.5,37.4,38.4,43.1,40.6,35.9,36.3,36.9,39.1,36.5,29.7,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,186,,,,,,,,,114,117,129,181,115,112,152,166,189,167,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,,,,44.3,,25.1,,,37.5,42.6,45,56.3,39.3,49.7,51.4,47.1,44.4,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,,16.7
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,30.2,,18.3,,,,,,5.09,2.86,16.5,13.2,11.3,7.98,10.7,5.19,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,,,,,,,253,,,,,,149,166,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,,85.9,,,,,,,,,163,,163,87.2,70.4,67.5,,92.8,95.8,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,33.8,46.4,41.5,27.5,21.1,,15.2,15.6,12.4,9.25,8.39,8.77,10.8,11.1,10.5,9.58,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490,2490,1860,,,,,,,,,1450,1320,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,109,97.6,89.3,68.3,,57.6,47.9,,59.5,45.5,58.9,44.1,44.1,,,25.9,24.8,23.8
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,81.7,95.9,,,115,,,,,,,,76,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,569,412,446,452,565,623,,,313,315,275,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,,,,,,,,,,,,,,,,,33,35.8,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,
